ele_m,area_m2
18.1,15
18.200000000000003,1706
18.3,4194
18.400000000000002,5903
18.5,7197
18.6,8846
18.700000000000003,11689
18.8,14355
18.900000000000002,18225
19,22688
19.1,25424
19.200000000000003,27073
19.3,28623
19.400000000000002,30868
19.5,33596
19.6,35971
19.700000000000003,37529
19.8,38826
19.900000000000002,39799
20,40490
20.1,40998
20.200000000000003,41381
20.3,41676
20.400000000000002,41864
20.5,42006
20.6,42114
20.700000000000003,42208
20.8,42280
20.900000000000002,42344
21,42431
21.1,42445
