WetID,waterYear,days,connected
BB,2019,176,39
BB,2020,365,206
BB,2021,18,18
DB,2017,2,0
DB,2018,365,53
DB,2019,364,134
DB,2020,366,42
DB,2021,18,4
DF,2019,159,72
DF,2020,366,162
DF,2021,19,19
DK,2019,61,0
DK,2020,366,63
DK,2021,18,2
DV,2019,159,22
DV,2020,364,33
DV,2021,19,2
FN,2019,176,71
FN,2020,364,136
FN,2021,18,18
GB,2019,159,20
GB,2020,360,18
GB,2021,19,1
JA,2019,159,16
JA,2020,365,52
JA,2021,19,0
JB,2019,62,0
JB,2020,365,19
JB,2021,19,0
JC,2019,159,21
JC,2020,365,26
JC,2021,19,2
JU,2019,159,20
JU,2020,364,4
JU,2021,19,0
NB,2019,62,0
NB,2020,360,15
NB,2021,19,0
ND,2018,365,0
ND,2019,364,151
ND,2020,366,111
ND,2021,18,18
QB,2018,302,16
QB,2019,364,86
QB,2020,366,10
QB,2021,19,0
TA,2019,176,46
TA,2020,364,95
TA,2021,18,12
TB,2017,3,0
TB,2018,365,57
TB,2019,364,191
TB,2020,365,97
TB,2021,18,15
TI,2019,159,9
TI,2020,364,24
TI,2021,19,0
